,0
AD,0.0
ADOSC,0.0
ADX,0.0
ADXR,0.0
ALPHA_252,0.05745684738898043
ALPHA_63,0.0
APO,0.0
AROONOSC,0.11486164846691967
ATR,0.014499236980746165
BB_LOW,0.0
BB_SQUEEZE,0.0
BB_UP,0.0
BOP,0.03497007646451062
CCI,0.0
CMA_252,0.016593482328293756
CMA_63,0.0
CMO,0.0
HML_252,0.0
HML_63,0.0
MACD,0.0
MACD_HIST,0.0
MACD_SIGNAL,0.019154085119928957
MARKET_252,0.0
MARKET_63,0.0
MFI,0.0
MINUS_DI,0.0
NATR,0.0
OBV,0.0
PLUS_DI,0.0
PPO,0.0
RMW_252,0.0
RMW_63,0.0
RSI,0.0
SMB_252,0.0
SMB_63,0.0
STOCH,0.022459549362618507
STOCHRSI,0.0
ULTOSC,0.0
WILLR,0.0
close,0.0
month,0.3043492186159263
ret_01,0.02177768860827087
ret_03,0.0
ret_05,0.1047655705008362
ret_10,0.02936324808195175
ret_126,0.0
ret_21,0.0
ret_252,0.0
ret_42,0.0
ret_63,0.03590623731168369
weekday,0.22384311076933314
