,0
AD,0.0
ADOSC,0.0
ADX,0.0
ADXR,0.0
ALPHA_252,0.2255493718584369
ALPHA_63,0.0
APO,0.0
AROONOSC,0.03420244264799541
ATR,0.04424940918795062
BB_LOW,0.0
BB_SQUEEZE,0.0
BB_UP,0.0
BOP,0.01043909373745898
CCI,0.0
CMA_252,0.001303737552933713
CMA_63,0.0
CMO,0.0
HML_252,0.0
HML_63,0.0
MACD,0.0
MACD_HIST,0.0
MACD_SIGNAL,0.004673920168949623
MARKET_252,0.0
MARKET_63,0.0
MFI,0.0
MINUS_DI,0.0
NATR,0.0
OBV,0.0
PLUS_DI,0.0
PPO,0.0
RMW_252,0.0
RMW_63,0.0
RSI,0.0
SMB_252,0.0
SMB_63,0.0
STOCH,0.0012743842372515922
STOCHRSI,0.0
ULTOSC,0.0
WILLR,0.0
close,0.0
month,0.4512694600227479
ret_01,0.007548676846756955
ret_03,0.0
ret_05,0.03717264955840225
ret_10,0.004761042690187499
ret_126,0.0
ret_21,0.0
ret_252,0.0
ret_42,0.0
ret_63,0.062491346213410084
weekday,0.11506446527751855
