DATE,mw,HourlyDryBulbTemperature,hour_of_day,day_of_week,month,year
2017-02-01 00:00:00,1419.881,37.0,0,2,2,2017
2017-02-01 01:00:00,1379.505,37.0,1,2,2,2017
2017-02-01 02:00:00,1366.106,36.0,2,2,2,2017
2017-02-01 03:00:00,1364.453,36.0,3,2,2,2017
2017-02-01 04:00:00,1391.265,36.0,4,2,2,2017
2017-02-01 05:00:00,1477.343,36.0,5,2,2,2017
2017-02-01 06:00:00,1585.252,34.0,6,2,2,2017
2017-02-01 07:00:00,1671.412,33.0,7,2,2,2017
2017-02-01 08:00:00,1708.597,34.0,8,2,2,2017
2017-02-01 09:00:00,1713.813,35.0,9,2,2,2017
2017-02-01 10:00:00,1741.466,32.0,10,2,2,2017
2017-02-01 11:00:00,1724.95,36.0,11,2,2,2017
2017-02-01 12:00:00,1718.228,36.0,12,2,2,2017
2017-02-01 13:00:00,1718.995,37.0,13,2,2,2017
2017-02-01 14:00:00,1705.024,36.0,14,2,2,2017
2017-02-01 15:00:00,1675.82,37.0,15,2,2,2017
2017-02-01 16:00:00,1691.804,36.0,16,2,2,2017
2017-02-01 17:00:00,1750.203,36.0,17,2,2,2017
2017-02-01 18:00:00,1773.542,36.0,18,2,2,2017
2017-02-01 19:00:00,1729.201,36.0,19,2,2,2017
2017-02-01 20:00:00,1710.319,35.0,20,2,2,2017
2017-02-01 21:00:00,1644.154,35.0,21,2,2,2017
2017-02-01 22:00:00,1550.903,34.0,22,2,2,2017
2017-02-01 23:00:00,1474.326,34.0,23,2,2,2017
2017-02-02 00:00:00,1422.477,34.0,0,3,2,2017
2017-02-02 01:00:00,1385.905,33.0,1,3,2,2017
2017-02-02 02:00:00,1370.147,33.0,2,3,2,2017
2017-02-02 03:00:00,1365.974,32.0,3,3,2,2017
2017-02-02 04:00:00,1400.753,32.0,4,3,2,2017
2017-02-02 05:00:00,1470.75,31.0,5,3,2,2017
2017-02-02 06:00:00,1604.519,30.0,6,3,2,2017
2017-02-02 07:00:00,1692.088,30.0,7,3,2,2017
2017-02-02 08:00:00,1708.432,31.0,8,3,2,2017
2017-02-02 09:00:00,1722.574,32.0,9,3,2,2017
2017-02-02 10:00:00,1727.146,30.0,10,3,2,2017
2017-02-02 11:00:00,1742.229,31.0,11,3,2,2017
2017-02-02 12:00:00,1725.753,32.0,12,3,2,2017
2017-02-02 13:00:00,1697.097,34.0,13,3,2,2017
2017-02-02 14:00:00,1676.936,32.0,14,3,2,2017
2017-02-02 15:00:00,1661.456,32.0,15,3,2,2017
2017-02-02 16:00:00,1657.424,31.0,16,3,2,2017
2017-02-02 17:00:00,1723.005,30.0,17,3,2,2017
2017-02-02 18:00:00,1797.257,29.0,18,3,2,2017
2017-02-02 19:00:00,1779.385,28.0,19,3,2,2017
2017-02-02 20:00:00,1759.351,27.0,20,3,2,2017
2017-02-02 21:00:00,1710.516,26.0,21,3,2,2017
2017-02-02 22:00:00,1619.813,25.0,22,3,2,2017
2017-02-02 23:00:00,1533.008,24.0,23,3,2,2017
2017-02-03 00:00:00,1483.741,23.0,0,4,2,2017
2017-02-03 01:00:00,1450.931,22.0,1,4,2,2017
2017-02-03 02:00:00,1439.698,21.0,2,4,2,2017
2017-02-03 03:00:00,1455.309,21.0,3,4,2,2017
